Pattern Name,,Product Description,Designer,Craft,Skill Level,# of Projects,Season,Finished Measurements,Yarn Requirements,Needles and Other Materials,Gauge,Yarn Weight,Fiber Content
Berroco Portfolio Vol. 1 E-Book,eBook,"Berroco Portfolio is a collaboration between the Berroco Design Team and a few of their favorite independent designers, celebrating the 10th Anniversary of Berroco’s Ultra Alpaca yarn line. This eBook is a classic collection, inviting designers to work with their choice of the four weights to create innovative and timeless wardrobe pieces.",Berroco Design Team,Knitting,Beginner - Advanced,13,Fall/Winter,N/A,Berroco Ultra Alpaca,N/A,N/A,Worsted,50% Alpaca/ 50% Wool
Tiller PDF,Downloadable PDF,"The cable and knit-purl texture on the Berroco Tiller socks are so charming, you'll want to show them off. Knit using Berroco Vintage, these socks are worked on 2 circular needles, makingi t easy to try these on as you work on them. Tiller socks are knit from the cuff down with a heal flap and gussset construction. ",Alison Green,Knitting,Intermediate,N/A,Fall/Winter,"Approximately 8"" around x 8½"" to top of heel flap",2 hanks of Berroco Vintage DK (shown in the color #2176 Fennel),"US 4 (3.50mm) two 16"" circular needles",22 sts and 28 rnds = 4” in stockinette stitch,DK,50% Acrylic/40% Wool/10% Nylon
Keel PDF,Downloadable PDF,"Berroco Keel is a great basic staple sock with stripes. Knit with Berroco Vintage DK, these are great socks to wear in the winter with your boots. Oh and they're machine washable too! Keel socks are knit cuff down in the round with a heel lap and gusset.",Brenda York,Knitting,Intermediate,N/A,Winter,"Circumference – approx. 10”
Leg Length – 8”",2 hanks of Berroco Vintage DK: #2107 Cracked Pepper (Main Color) and #2134 Sour Cherry (Secondary Color) shown,"US 6 (4.00mm) two 16"" circulars",22 sts and 28 rnds = 4” in stockinette stitch,DK,50% Acrylic/40% Wool/10% Nylon
Hook PDF,Downloadable PDF,"Berroco Hook is a pair of fingerless gloves worked seamlessly with a charted cable motif on the back of a hand. Knit with super soft and easy to care for Berroco Vintage DK, these mitts are a great way to add wamth during those cooler days, while keeping your fingertips free for typing, texting, or writing. ",Alison Green,Knitting,Intermediate,N/A,Fall/Winter,"Circumference – approx. 8”
Leg Length – 8”",1 hanks of Berroco Vintage DK: #2107 Cracked Pepper shown,"US 4 (3.50mm) Double Pointed Needles
US 5 (3.75mm) Double Pointed Needles",24 sts and 32 rnds = 4” in stockinette stitch on larger needles,DK,50% Acrylic/40% Wool/10% Nylon
Burgees PDF,Downloadable PDF,"Berroco Burgees is a fun stripped colorwork hat project! Knit up with Berroco Vintage DK, there's a great array of colors to work into your first colorwork project. Burgees knits seamlessly int he round from ribbed brim to crown.",Brenda York,Knitting,Intermediate,N/A,Fall/Winter,"Circumference – approximately 18” 
Height – 7½”","1 hank each Berroco Vintage DK (100 grs), #2187 Dungaree (A), #2192 Chana Dal (B), #2101 Mochi (C) and #2134 Sour Cherry (D)","US 6 (4.00mm) 16"" circular and double pointed needles",22 sts and 28 rnds = 4” in stockinette stitch,DK,50% Acrylic/40% Wool/10% Nylon
Fitzgerald PDF,Downloadable PDF,"Berroco Fitzgerald cardigan is a beautiful aran-style cabled sweater with a cozy shawl collar. Knit with Berroco Vintage Chunky, Fitzgerald makes for a warm and easy to care for gift. Knit flat in pieces from the bottom up and seamed.",Amy Christoffers,Knitting,Intermediate,N/A,Winter,"Chest (closed) 36(40-44-48-52-56-60)""

Length – 28(28½-29-29½-30-30½-31)""","10(12-14-15-17-18-20) hanks Berroco Vintage Chunky (100 grs), #6187 Dungaree shown","US 8 (5.00mm) straights and 36"" or longer circular
US 10 (6.00mm) straights ","14 sts and 21 rows = 4” in seed st on larger needles
63 sts = 10” in charted pattern on larger needles",Bulky,50% Acrylic/40% Wool/10% Nylon
Hampden PDF,Downloadable PDF,"A quick-knit, bulky scarf, Berroco Hampden is worked in 3 colors with an easy slip-stich pattern reminiscent of plaid fabrics.",Emily Nora O’Neil,Knitting,Beginner,N/A,Fall/Winter,"Width – approx. 12"" 
Length – 84""","6 hanks of Berroco Vintage Chunky:

3 hanks of Main Color, shown in #6107 Cracked Pepper
2 hanks complementary color, shown in #6106 Smoke
1 hank complementary color, shown in #6192 Chana Dal ",US 10 (6.00mm) straights,"16 sts and 24 rows = 4"" in pattern",Bulky,50% Acrylic/40% Wool/10% Nylon
Hinckley PDF,Downloadable PDF,"Berroco Hinckley is a super fun and easy hat to knit quickly. Knit using Berroco Vintage Chunky, this is a great project to create a soft and easy to care for project to gift to a loved one. Hinckley is knit seamlessly in the round from brim to crown in a simple to work 2 round pattern.",Emily Nora O’Neil,Knitting,Beginner,N/A,Fall/Winter,"Circumference – approx. 16” (unstretched)
Height – 11” (with brim unfolded)",1 hanks of Berroco Vintage Chunky: #6181 Black Cherry shown,"US 8 (5.00mm) 16"" circular and Double Pointed Needles
US 9 (5.50mm) 16"" circular and Double Pointed Needles",15 sts and 22 rnds = 4” in pattern with larger needle,Bulky,50% Acrylic/40% Wool/10% Nylon
North PDF,Downloadable PDF,"Berroco North is a roll-neck sweater that will quickly become a cool-weather favorite! Made using Berroco Vintage Chunky, this easy to knit sweater makes a great gift and is very easy to care for. North is knit flat in peices from the bottom up and seamed.",Amy Christoffers,Knitting,Beginner,N/A,Fall/Winter,"Chest – 36 (40, 44, 48, 52, 56, 60)”
Length – 28 (28½, 29, 29½, 30, 30½, 31)”","7 (8, 9, 10, 11, 12, 13) hanks Berroco Vintage Chunky (shown in color #61173 Forest Floor)","US 8 (5.00mm) straights and 16"" circular
US 10 (6.00mm) straughts",14 sts and 21 rows = 4” in stockinette stitch on larger needles,Bulky,50% Acrylic/40% Wool/10% Nylon
Brooklin Vest PDF,Downloadable PDF,"A seamless and easy knitting experience, the Brooklin Vest is an open-front vest is knit from side-to-side in one piece. A simple texture stitch adorns the back for added interest.",Elizabeth Smith,Knitting,Beginner,N/A,Fall/ Spring,"Back width – 14¼(14¼-14¾-15¼)”

Length from bottom neck to hem – 18½(20¾-23-25½)”","5(5-6-7) hanks of Berroco Vintage Chunky, shown in #6144 Cork","32” circular knitting needle, size 10 (6 mm) ","14 sts and 21 rows = 4” in St st
14 sts and 22 rows = 4” in Basketweave pattern
14 sts and 30 rows = 4” in Garter St",Bulky,50% Acrylic/40% Wool/10% Nylon
Four Winds Hat PDF,Downloadable PDF,"The Four Winds hat is quick and fun knit worked together with Berroco's Vintage Chunky. A classic combo of garter stitch and cables, the Four Winds Hat makes for a fun and functional earflap hat. Knit the earflaps first, then join in the round to the crown. And to make it even more fun, top off the hat with pom-pom!",Melissa LaBarre,Knitting,Intermediate,N/A,Fall/Winter,"19½"" around x 8½"" high","2 skeins Berroco Vintage Chunky, shown in #6181","US 10 16"" circular and one set of double pointed needles","14 sts and 24 rows = 4"" in garter stitch",Bulky,50% Acrylic/40% Wool/10% Nylon
Zitterhall PDF,Downloadable PDF,"A classic example of a colorwork yoke sweater, Zitterhall pairs a bright pop of color with a neutral in two shades of Berroco Vintage. Knitting begins at the bottom of the body and sleeves before joining to work the geometric yoke pattern. Berroco Vintage will quickly become your go-to yarn for any project. Available in a beautiful selection of solids and heathers, this worsted weight, machine washable yarn is perfect for anything you can dream up.",Amy Christoffers,Knitting,Intermediate,N/A,Fall/Winter,"Shown in size 42½” with suggested positive ease of 2–4”
Bust  – 33¾ (36½, 40, 42½, 46¼, 49¾, 53¼, 56¾, 60½)""
Length (down center back) – 23 (23¼, 23½, 24, 24¼, 24½, 24¾, 25, 25¼)""","Berroco Vintage in:
Main Color  – 4 (4, 5, 5, 5, 6, 6, 6, 7) hanks shown in 5105 Oats
Contrast Color  – 1 (1, 1, 1, 2, 2, 2, 2, 2) hanks shown in 51135 Shocking","US 6 (4.00mm) 16” & 29” circular & Double Pointed Needles
US 8 (5.00mm) 16” & 29” circular",18 sts and 26 rnds = 4” in stockinette stitch on US 8 (5.00mm),Worsted,50% Acrylic/40% Wool/10% Nylon
