Pattern Name,,Product Description,Designer,Craft,Skill Level,# of Projects,Season,Finished Measurements,Yarn Requirements,Needles and Other Materials,Gauge,Yarn Weight,Fiber Content
Round Lake Rug,Downloadable PDF,"Crocheted with Woolstok Jumbo on a size U hook, this speedy project is great for any room in your house. Want it bigger? Add another cone of yarn and keep on going.",Bobbi Intveld,Crochet,Beginner,1,All Seasons,Circumference: 27″,Woolstok (Jumbo) (100% Highland Peruvian Wool; 500g/43yds): 2 cones,"Size U (25.0mm) hook, or size needed to obtain gauge",In sc 2½ sts and 2½ rows = 4″,Jumbo,100% Wool
Fairmont Felted Bowls,Downloadable PDF,"Using just one Woolstok bundle, this quick knit set of mini hanks will create two adorable little bowls. Just the right size to hold your keys, snacks or small knitting notions.",Nancy Ekvall,Knitting,Intermediate,1,All Seasons,"Outside Circumference Felted: 12 (14)”
Outside Height Felted: 2 (2 ½)”",Woolstok Bundle (100% Fine Highland Wool); 5g/12yds): 21 mini hanks (3 of each of the 7 colors),"Size 13 (9mm) double pointed needles, or size needed to obtain gauge
Stitch marker
Tapestry needle","In stockinette, 14 sts and 16 rows = 4″ unfelted",Worsted,100% Wool
Elizabeth Cowl,Downloadable PDF,"This cozy cowl is made from just 2 hanks of our Organic Cotton (Worsted). Its infinity drape compliments any mood and with over 30 colors to choose from, you’ll want more than one! Perfect for learning to knit in the round.",Katie Mayer,Knitting,Beginner,1,Fall/ Winter,"Circumference: 58″
Height: 8¼”",Organic Cotton (Worsted) by Blue Sky Fibers (100% Organic Cotton; 100 grams/150yd): 2 hanks,"Size 11 (8mm) 24″ circular needle, or size needed to obtain gauge
Stitch marker
Tapestry needle","In Garter st, 12 sts and 24 rows = 4″",Worsted,100% Cotton
Big Lake Rug,Downloadable PDF,"A delight for your feet, the Big Lake Rug is soft yet durable. Knit with Woolstok Jumbo, on size 100 needles, you can customize the size for that perfect space.",Nancy Ekvall,Knitting,Beginner,1,All Seasons,"Length: 28″
Width: 23″",Woolstok (Jumbo) (100% Highland Peruvian Wool; 500g/43yds): 2 cones,"Size 100 (35.0mm) 40″ circular needles, or size needed to obtain gauge","In garter, 5 sts and 4 rows = 4″",Jumbo,100% Wool
Albany Alpaca Cowl,Downloadable PDF,Longevity is built into the design. A simple and soft stockinette cowl is worked in the round with 100% Baby Alpaca. A modern twist on a classic design.,Jane Veitenheimer,Knitting,Intermediate,1,Fall/ Winter,Circumference: 24″  / Height: 16″,"Baby Alpaca (100% Baby Alpaca; 50g/110yds): 3 hanks A, 1 hank B, 1 hank C, 1 hank D, 1 hank E","Size 3 (3.25mm) 24″ circular needle, or size needed to obtain gauge
Stitch marker",In stockinette stitch 26 sts and 35 rows = 4″,Sport,100% Alpaca
Aunt Aggies Trivets,Downloadable PDF,"Aunt Aggie's trivets are a beautiful project to build up a crochet legacy of your own. THese beautiful decorative and functional pieces will be a treasured heirloom and centerpiece for years to come. What's even more wonderful is that they're super easy to make and easily customizable to your taste as well. Whether you're crafting for your home decor or wishing to gift this to someone special, you'll have wonderful pieces to share before you know it!",Valerie Teppo,Crochet,Advanced,1,All Seasons,"Sizes: S, M, and L
Diameter: 6 (8, 11)”",Organic Cotton (Skinny) by Blue Sky Fibers (100% Organic Cotton; 65 grams/150yd): 3 hanks,"Size G (4.0mm) hook, or size needed to obtain gauge",N/A,Sport,100% Cotton
Afton Shrug,Downloadable PDF,"The Afton is a simple rectangle that’s knit in one piece and joined under the arm. This layering piece works well with jeans and dresses and is great for all seasons. It’s knit in soft Organic Cotton, in garter stitch with a wide rib.",Sarah Smuland,Knitting,Intermediate,1,Fall/ Winter,"Sizes: XS (S, M, L, XL)
Length: 24 (26, 28, 30, 32)” / Width: 24½ (28, 28, 28, 31½)”","Organic Cotton (Worsted) by Blue Sky Fibers (100% Organic Cotton; 100g /150yds): 3 (4, 4, 4, 5) hanks","Size 9 (5.5mm) 24″ or longer circular needles, or size needed to obtain gauge
Size 10½ (6.5mm) 24″ or longer circular needles, or size needed to obtain gauge
Removable stitch marker
Tapestry needle","In garter st, 14 sts and 24 rows = 4″ using largest needles",Worsted,100% Cotton
Zig Zag Mittens & Hat,Downloadable PDF,Zig Zag Mittens & Hat are the perfect beginner Fair Isle project. Easy to knit and wear the hat is one that can be worn many different ways by adjusting the brim.,Susan B. Anderson,Knitting,Intermediate,1,Winter,Hat circumference: 19-22″,"Techno by Blue Sky Fibers (68% Baby Alpaca/22% Silk/10% Extra Fine Merino; 50 grams/120yd): Hat-1 hank MC, 1 hank CC; Mittens-1 hank MC, 1 hank CC","Hat: Size 10 (6mm) 16″ circular needle, or size needed to obtain gauge
Hat: Size 10 (6mm) double pointed needles, or size needed to obtain gauge
Mittens: Size 9 (5.5mm) double pointed needles, or size needed to obtain gauge
Yarn needle
Stitch marker
Waste yarn","Hat: In St st, 4 sts = 1″, using larger needle
Mittens: In St st, 4.5 sts = 1″, using smaller needle",Light Bulky,68% Alpaca / 22% Silk / 10% Wool
Spicer Hat,Downloadable PDF,"Knit in just one 50 gram hank of Woolstok, the Spicer Hat is a quick knit. With many color options, cast on and be done by the end of the day.",Nancy Ekvall,Knitting,Intermediate,1,Fall/ Winter,Circumference: 17″ / Height 8 (8½)”,Woolstok by Blue Sky Fibers (100% Fine Highland Wool; 50g /123yds): 1 hank,"Size 7 (4.5mm) 16″ circular needles, or size needed to obtain gauge
Size 7 (4.5mm) double point needles, or size needed to obtain gauge
Stitch marker
Tapestry needle",In St st 20 sts and 30 rows = 4″,Worsted,100% Wool
Java Cloche Hat,Downloadable PDF,Have a cuppa and stay toasty warm in the so-very-soft sport weight alpaca.,Grace Akhrem,Knitting,Intermediate,1,Fall/ Winter,"Hat Circumference: 21"" Length: 7¼""","Baby Alpaca (Sport) by Blue Sky Fibers (100% Baby Alpaca; 50g/110yd): 1 hank MC, 1 hank CC1, 1 hank CC2","Size 4 (3.5mm) 16″ circular needle, or size needed to obtain gauge
Size 4 (3.5mm) double pointed needles, or size needed to obtain gauge
Stitch marker","In St st, 22 sts and 32 rnds = 4″",Sport,100% Alpaca
Hennepin Hat,Downloadable PDF,"Knit in Techno, this fun hat is light, airy and comes in many rich colors. Knit in the round using a three-needle bind off, this trendy piece will look great on both adults and kids.",Nancy Ekvall,Knitting,Intermediate,1,Fall/ Winter,Circumference: 18″  / Height: 8″,"Techno (68% baby alpaca, 22% silk, 10% extra fine merino; 50g/120yds): 1 hank","Size 10 (6mm) 16” circular needle, or size needed to obtain gauge
Size 10 (6mm) double pointed needle to be used for three-ndl BO
Tapestry needle",17 sts and 24 rows = 4”  in Stockinette stitch,Light Bulky,68% Alpaca / 22% Silk / 10% Wool
Girl's Skinny Tank,Downloadable PDF,A fun summer top with simple color work. Check out the gorgeous colors to choose from! ,Wendy Bernard,Knitting,Intermediate,1,Fall / Spring,"Sizes: 2-3 (4-5, 6-7, 8-9, 10-12) Years
Chest: 22 (24, 26, 28, 30)”
Back length: 9¾ (11¼, 12¼, 13¼, 14¼)”, not including straps","Organic Cotton (Skinny) by Blue Sky Fibers (100% Organic Cotton; 65 grams/150yd): 2 (2, 3, 3, 4) hanks MC; 1 hank CC1; 1 hank CC2","Size 6 (4mm) 20″ or longer circular needle, or size needed to obtain gauge
Two contrasting stitch markers
Tapestry needle","In St st, 19 sts and 22 rnds = 4″",DK,100% Cotton
Itasca Slouch Hat,Downloadable PDF,"This striping slouch is a fun use of all four colors of American Scenic yarn. Made in the U.S.A., this yarn is a soft blend of alpaca, merino and silk. Pick your favorite color for the pom-pom and stay warm in style.",Nancy Ekvall,Knitting,Intermediate,1,Fall/ Winter,Circumference: 19″ / Height: 10″,"American Scenic (50% US Alpaca, 30% US Merino, 20% Silk; 3oz/100yds): 1 hank (A), 1 hank (B), 1 hank (C), 1 hank (D)","Size 10 (6 mm) 16″ circular needles, or size needed to obtain gauge
Size 10 (6 mm) double pointed, or size needed to obtain gauge
Stitch marker
Tapestry needle",15 sts and 20 rows = 4″  in Stockinette stitch,Aran / Worsted,50% Alpaca / 30% Wool / 20% Silk
