person_id	ts	event	sizmek_id	advertiser	campaign	dma	creative	creative_type	ad	site	section	placement_id	placement_name	placement_dimension	version	target_audience	drt	device_type	count(*)
2473519228771928686	1602947062	click	460187b8-22cc-49fc-87ea-7af21959784c	TCAA-NETDAA	NE-Q4-2020	PORT	DCO	BANNER NOVIDEO	20Q4-NE-CTX-300x250-Live	Edmunds	CONQUEST_CAR%20RESEARCH%20PAGES	1075755768	EDMUNDS-Q4-2020-CONQUEST_CAR%20RESEARCH%20PAGES-PORT-300x250	300x250	1376468321	1073772454	Unknown	PC	1
2560819292594701968	1602975981	imp	8bbebd1b-80ef-4545-b58a-0b9bd9034823	TCAA-NETDAA	NE-Q4-2020	BOS	DCO	BANNER NOVIDEO	20Q4-NE-CTX-728x90-Live	Cars.com	RUN%20OF%20MARKET	1075755600	CARS-COM-Q4-2020-RUN%20OF%20MARKET-BOS-728x90	728x90	1376431661	1073773198	Unknown	PC	1
2786387471873860412	1602907200	imp	73faee19-e55f-40a1-9a17-92ae4e3346c9	TCAA-NETDAA	NE-ONGOING	BOS	DCO	BANNER NOVIDEO	20Q4-NE-Default-EVENT-320x100	Amobee%20US	DISPLAY-DATA_CARS_RETENTION	1075079113	BOS-DISPLAY-DATA_CARS_RETENTION-320x50	320x100	1229126692	-1	Unknown	TV	1
2884131579459070239	1602959584	imp	ad0b0112-dbfe-4b2d-bd89-3c4a53fa589a	TCAA-NETDAA	NE-Q4-2020	BOS	SVPRO-BL	BANNER NOVIDEO	20Q4-NE-Default-EVENT-B1-300x250	Hearst%20Digital%20Media%20US	ROS	1075755937	HEARST-Q4-2020-ROS-BOS-300x250	300x250	Unknown	-1	Unknown	PC	1
3084387383495327073	1602968156	imp	6fb641b7-ee16-4293-ad98-693458263ea0	TCAA-NETDAA	NE-Q4-2020	BOS	SVPRO-CONTEXT	BANNER NOVIDEO	20Q4-NE-CTX-300x250-Live	Hearst%20Digital%20Media%20US	NEW%2fUSED%20RETENTION	1075755926	HEARST-Q4-2020-NEW%2fUSED%20RETENTION-BOS-300x250	300x250	1375875240	1073772442	Unknown	PC	1
3084387383495327073	1602968366	imp	6fb641b7-ee16-4293-ad98-693458263ea0	TCAA-NETDAA	NE-Q4-2020	BOS	SVPRO-CONTEXT	BANNER NOVIDEO	20Q4-NE-CTX-300x600-Live	Hearst%20Digital%20Media%20US	NEW%2fUSED%20RETENTION	1075755926	HEARST-Q4-2020-NEW%2fUSED%20RETENTION-BOS-300x600	300x600	1375875240	1073772442	Unknown	PC	1
3084387383495327073	1602969872	imp	6fb641b7-ee16-4293-ad98-693458263ea0	TCAA-NETDAA	NE-Q4-2020	BOS	CUSTOM	BANNER NOVIDEO	20Q4-NE-CTX-300x250-Live	Hearst%20Digital%20Media%20US	NEW%2fUSED%20RETENTION	1075755926	HEARST-Q4-2020-NEW%2fUSED%20RETENTION-BOS-300x250	300x250	1375875240	-1	Unknown	PC	1
3084387383495327073	1602969872	imp	6fb641b7-ee16-4293-ad98-693458263ea0	TCAA-NETDAA	NE-Q4-2020	BOS	CUSTOM	BANNER NOVIDEO	20Q4-NE-CTX-728x90-Live	Hearst%20Digital%20Media%20US	NEW%2fUSED%20RETENTION	1075755926	HEARST-Q4-2020-NEW%2fUSED%20RETENTION-BOS-300x250	300x250	1375875240	-1	Unknown	PC	1
3100434426055158673	1602941031	imp	2bf16669-7f28-4d1d-92ee-a9ac527ffcb4	TCAA-NETDAA	NE-Q4-2020	PROV	SVPRO-CONTEXT	BANNER NOVIDEO	20Q4-NE-CTX-728x90-Live	Hearst%20Digital%20Media%20US	NEW%2fUSED%20Intrasite%20Retention	1075756003	HEARST-Q4-2020-NEW%2fUSED%20Intrasite%20Retention-PROV-300x250	300x250	1375838642	1073772471	Unknown	PC	1
3100434426055158673	1602941728	imp	2bf16669-7f28-4d1d-92ee-a9ac527ffcb4	TCAA-NETDAA	NE-Q4-2020	PROV	SVPRO-CONTEXT	BANNER NOVIDEO	20Q4-NE-CTX-300x600-Live	Hearst%20Digital%20Media%20US	NEW%2fUSED%20Intrasite%20Retention	1075756016	HEARST-Q4-2020-NEW%2fUSED%20Intrasite%20Retention-PROV-300x600	300x600	1375838642	1073772471	Unknown	PC	1
